indoor,outdoor,someone_exist,fan
24.45,25.63,0,0
25.47,25.9,0,0
23.39,24.9,0,0
24.59,26.7,0,0
23.66,25.95,0,0
23.5,26.02,0,0
24.48,26.9,0,0
26.23,28.15,0,0
24.74,26.7,0,0
24.23,26.77,0,0
32.59,34.6,0,0
32.02,33.6,0,0
34.09,36.02,0,0
32.81,36.2,0,0
31.51,32.78,0,0
33.01,34.35,0,0
31.5,32.78,0,0
33.88,35.86,0,0
31.95,33.59,0,0
32.45,34.59,0,0
30.84,32.72,0,0
32.13,33.44,0,0
33.42,35.49,0,0
32.73,33.77,0,0
34.24,36.08,0,0
26.18,27.8,0,0
31.76,33.47,0,0
25.14,26.9,0,0
24.2,25.8,0,0
31.73,32.94,0,0
24.89,26.28,0,0
24.75,26.72,0,0
23.87,25.44,0,0
24.16,26.59,0,0
25.4,27.14,0,0
25.88,26.94,0,0
25.86,27.62,0,0
23.84,25.55,0,0
34.14,35.57,1,1
31.51,32.78,1,1
29.81,31.24,1,1
31.91,33.8,1,1
31.39,32.85,1,1
31.11,32.9,1,1
34.17,35.89,1,1
