temperature,humidity,surface moisture,smoke,CAUTION
33.74,56,0.26,1,1
33.51,56,0.26,0,1
33.02,57,0.26,0,1
32.32,59,0.26,1,1
31.24,66,0.26,1,1
29.19,76,0.26,0,0
28.12,81,0.26,0,0
27.44,83,0.26,0,0
26.97,86,0.27,0,0
26.49,86,0.27,0,0
26.13,86,0.27,0,0
25.75,87,0.27,0,0
25.41,87,0.27,0,0
24.17,90,0.27,0,0
23.52,91,0.27,0,0
22.92,91,0.27,0,0
22.43,91,0.27,0,0
22.61,89,0.27,0,0
25.78,85,0.27,0,0
29.24,72,0.27,0,0
30.81,68,0.27,1,1
31.85,65,0.27,1,1
32.58,63,0.26,1,1
32.91,61,0.26,1,1
32.99,60,0.26,1,1
32.77,60,0.26,1,1
32.33,60,0.26,1,1
31.68,62,0.26,1,1
30.75,68,0.26,1,1
28.88,76,0.26,0,0
27.84,81,0.26,0,0
27.39,84,0.26,0,0
26.96,87,0.27,0,0
26.58,89,0.27,0,0
26.07,92,0.28,0,0
25.59,90,0.27,0,0
24.99,91,0.27,0,0
24.4,91,0.27,0,0
23.83,91,0.27,0,0
23.13,92,0.27,0,0
22.61,93,0.27,0,0
23.15,90,0.27,0,0
26.14,87,0.27,0,0
28.98,76,0.27,0,0
